
 
我的收藏,#genre#
央视直播,#genre#
CCTV1,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1215
CCTV2,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1216
CCTV3,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1217
CCTV4,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1218
CCTV5,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1219
CCTV5+,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1220
CCTV6,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1221
CCTV7,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1222
CCTV8,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1223
CCTV9,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1224
CCTV10,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1225
CCTV11,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1226
CCTV12,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1227
CCTV13,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1228
CCTV14,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1229
CCTV15,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1230
CCTV16,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1231
CCTV17,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1232
CCTV娱乐,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1233
CETV1,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1234
CETV2,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1235
CETV4,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1236
CHC影迷电影,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1237
CHC动作电影,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1238
CHC家庭电影,http://zb.xmzb.xyz/cctv.php?id=⚽HR一1239
CGTN,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225604/.m3u8
CGTN记录,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225602/.m3u8
卫视直播,#genre#
广东卫视,http://124.116.183.146:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.116.183.146:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://124.116.183.146:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://124.116.183.146:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://124.116.183.146:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://124.116.183.146:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
