秒播央卫,#genre#


CCTV1,https://tvpull.careryun.com/tv/cctv1.m3u8?txSecret=4c1de4d07ba9dd793bfd9905cba5990c&txTime=67f0194f
CCTV2,https://tvpull.careryun.com/tv/cctv2.m3u8?txSecret=ff77f81c2a244692b080924a919ae41c&txTime=67f0194f
CCTV3,https://tvpull.careryun.com/tv/cctv3.m3u8?txSecret=17b747df5a0ae114fd0efec083038540&txTime=67f0194f
CCTV4,https://tvpull.careryun.com/tv/cctv4.m3u8?txSecret=a7a68203e011896a8a59a701adb2acbc&txTime=67f0194f
CCTV5,https://tvpull.careryun.com/tv/cctv5.m3u8?txSecret=0253ecfd2fa0c9a5e58d08d082c8cd66&txTime=67f0194f
CCTV5+,https://tvpull.careryun.com/tv/cctv5plus.m3u8?txSecret=1b97714a9170f57ce1a67568bf933b8d&txTime=67f0194f
CCTV6,https://tvpull.careryun.com/tv/cctv6.m3u8?txSecret=f878e9689f47d6aaf11b71fb61a8c268&txTime=67f0194f
CCTV7,https://tvpull.careryun.com/tv/cctv7.m3u8?txSecret=bf1fcdde453c4e3b4a05682d93c40b19&txTime=67f0194f
CCTV8,https://tvpull.careryun.com/tv/cctv8.m3u8?txSecret=c05063029e53cb0a66a1715fb714bc51&txTime=67f0194f
CCTV9,https://tvpull.careryun.com/tv/cctv9.m3u8?txSecret=201f33dfe0c0ec19c08f5cfbbf3b044e&txTime=67f0194f
CCTV10,https://tvpull.careryun.com/tv/cctv10.m3u8?txSecret=68843043e5c75fa9703302d1188e759e&txTime=67f0194f
CCTV11,https://tvpull.careryun.com/tv/cctv11.m3u8?txSecret=9860595964034d8b63bef683e4b6bf18&txTime=67f0194f
CCTV12,https://tvpull.careryun.com/tv/cctv12.m3u8?txSecret=03ffa15093c3ee2f9eeaa8e936c9d84a&txTime=67f0194f
CCTV13,https://tvpull.careryun.com/tv/cctv13.m3u8?txSecret=2fed864503742192fb95c3be2b422570&txTime=67f0194f
CCTV14,https://tvpull.careryun.com/tv/cctv14.m3u8?txSecret=9170f55ae71b7dd1ab6a062186e8540d&txTime=67f0194f
CCTV15,https://tvpull.careryun.com/tv/cctv15.m3u8?txSecret=d289105ae1e88e1b4aed1c40d4ad4097&txTime=67f0194f
CCTV17,https://tvpull.careryun.com/tv/cctv17.m3u8?txSecret=c876113d457b14435f8ff27645172cf6&txTime=67f0194f
CCTV4美洲,https://tvpull.careryun.com/tv/cctv4m.m3u8?txSecret=59111d0e005a7e5738242e4142d1ebb7&txTime=67f0194f
CCTV4欧洲,https://tvpull.careryun.com/tv/cctv4o.m3u8?txSecret=8f7bf60154b07f4f90e624363df871ec&txTime=67f0194f
东方卫视,https://tvpull.careryun.com/tv/dfws.m3u8?txSecret=58dc1f08749b7d905388cfe1d89ceeea&txTime=67f0194f
湖南卫视,https://tvpull.careryun.com/tv/cn_hunws.m3u8?txSecret=fd62a8118f8739f7b1c6d1ee1469852f&txTime=67f0194f
浙江卫视,https://tvpull.careryun.com/tv/cn_zjws.m3u8?txSecret=f5da244bbb088ef7d258763265688220&txTime=67f0194f
